case,rho,design,parent_n,replicate,observed_n,A,B,C,D,train_n,validation_n,true_membership,logE_true,distance_to_threshold,prediction,arithmetic,method,resolved_bin_L1_Q,bright_probability_RMSE_Q,bright_probability_RMSE_P_reference,record_law_TV,invisible_mass,true_invisible_mass,Q_mass_resolved,seconds,iterations,score,status,tail_feasible,min_mean_loglik_gain,invisible_drift
rho0.55_N1000_r000,0.55,shallow,1000,0,762,373,188,201,238,380,382,True,-291.05724950389043,294.0529817774444,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.305329116319679,0.007675334051258252,0.009328217341933587,0.15618936949230072,0.1425369565965509,0.1712581898853389,0.6557974051797312,0.007226225999943381,52,7.698049539899294e-08,score_tolerance_reached_not_global_certificate,True,0.0,0.0
rho0.55_N1000_r000,0.55,shallow,1000,0,762,373,188,201,238,380,382,True,-291.05724950389043,294.0529817774444,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3560977221241758,0.023515248455140417,0.05326068551625494,0.1780188752307576,0.0,0.1712581898853389,0.7578562828528519,0.006231651999996757,63,9.793278676895056e-08,score_tolerance_reached_not_global_certificate,,1.7763568394002505e-15,0.1425369565965509
rho0.55_N1000_r000,0.55,shallow,1000,0,762,373,188,201,238,380,382,True,-291.05724950389043,294.0529817774444,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.6290994897849929,0.16129421808556413,0.19051826381751555,0.4188629017861756,0.0,0.1712581898853389,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r000,0.55,deep,1000,0,816,494,154,168,184,411,405,True,-303.1989068941359,306.1946391676899,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.4584850484496294,0.006245254134525209,0.006165192976688718,0.18568064798429862,0.033279071736023486,0.020462128659449963,0.909637064745049,0.010845162000009623,52,7.591857725481746e-08,score_tolerance_reached_not_global_certificate,True,3.828839467701073e-10,0.0
rho0.55_N1000_r000,0.55,deep,1000,0,816,494,154,168,184,411,405,True,-303.1989068941359,306.1946391676899,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.5481157676734556,0.03708477057661671,0.04011047971761123,0.20802471085587343,0.0,0.020462128659449963,0.9471158769033767,0.006757697000011831,63,9.793278654690596e-08,score_tolerance_reached_not_global_certificate,,7.034373084024992e-13,0.033279071736023486
rho0.55_N1000_r000,0.55,deep,1000,0,816,494,154,168,184,411,405,True,-303.1989068941359,306.1946391676899,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.6477480904715516,0.10648968326713991,0.10938085445448784,0.3315846119997584,0.0,0.020462128659449963,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r001,0.55,shallow,1000,1,745,343,195,207,255,362,383,True,-306.88640759225893,309.8821398658129,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.33877341795114413,0.009645227430067642,0.005977771819374574,0.17956911797371872,0.14253695659655094,0.1712581898853389,0.626624852878482,0.00778396700002304,57,7.930937533194767e-08,score_tolerance_reached_not_global_certificate,True,4.598343927852966e-10,2.7755575615628914e-17
rho0.55_N1000_r001,0.55,shallow,1000,1,745,343,195,207,255,362,383,True,-306.88640759225893,309.8821398658129,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.39632925734170105,0.017273926669939817,0.04674499569587606,0.201265556716474,0.0,0.1712581898853389,0.7394944035196332,0.012341433999949913,103,9.786367138886476e-08,score_tolerance_reached_not_global_certificate,,4.874318726422189e-10,0.1425369565965509
rho0.55_N1000_r001,0.55,shallow,1000,1,745,343,195,207,255,362,383,True,-306.88640759225893,309.8821398658129,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.6654150730177315,0.15497196812296096,0.18432260862804647,0.42892803246114863,0.0,0.1712581898853389,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r001,0.55,deep,1000,1,805,466,164,175,195,390,415,True,-330.65957567814536,333.65530795169934,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.5005931605477805,0.01125480225336116,0.012579277409445817,0.2111753647337508,0.033279071736023486,0.020462128659449963,0.8819272747077099,0.008722248000026411,57,7.915176589133056e-08,score_tolerance_reached_not_global_certificate,True,4.827880317748168e-10,0.0
rho0.55_N1000_r001,0.55,deep,1000,1,805,466,164,175,195,390,415,True,-330.65957567814536,333.65530795169934,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.5759008889519612,0.029445093961270343,0.03245243110166765,0.22972634708275821,0.0,0.020462128659449963,0.9297344910529645,0.01114454300000034,103,9.786367161090936e-08,score_tolerance_reached_not_global_certificate,,4.511013784735951e-10,0.033279071736023486
rho0.55_N1000_r001,0.55,deep,1000,1,805,466,164,175,195,390,415,True,-330.65957567814536,333.65530795169934,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.664643821652195,0.09551295477770594,0.09840766716134568,0.3392221508414168,0.0,0.020462128659449963,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r002,0.55,shallow,1000,2,744,380,167,197,256,382,362,True,-324.4276506618521,327.4233829354061,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.2956226879921817,0.007410833781876962,0.010726914364732248,0.161552109294666,0.1425369565965509,0.1712581898853389,0.6853714928545742,0.004559750999987955,33,9.120921617977729e-08,score_tolerance_reached_not_global_certificate,True,5.9676708019651414e-12,2.7755575615628914e-17
rho0.55_N1000_r002,0.55,shallow,1000,2,744,380,167,197,256,382,362,True,-324.4276506618521,327.4233829354061,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3351934137302268,0.024326791733817223,0.05423060777173617,0.18209401075294238,0.0,0.1712581898853389,0.7693735664206364,0.0056059109999750945,35,7.71472463689804e-08,score_tolerance_reached_not_global_certificate,,1.922018100231071e-12,0.1425369565965509
rho0.55_N1000_r002,0.55,shallow,1000,2,744,380,167,197,256,382,362,True,-324.4276506618521,327.4233829354061,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.5616730696612064,0.14138031026050854,0.17101863390526253,0.3712063592505397,0.0,0.1712581898853389,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r002,0.55,deep,1000,2,794,491,134,169,206,411,383,True,-351.499672072003,354.495404345557,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.4250751230758423,0.008572872893746478,0.0066782280456435025,0.18593717194067544,0.033279071736023486,0.020462128659449963,0.8986795863114513,0.004774656999984472,35,9.046292301425257e-08,score_tolerance_reached_not_global_certificate,True,2.3437127794068147e-09,0.0
rho0.55_N1000_r002,0.55,deep,1000,2,794,491,134,169,206,411,383,True,-351.499672072003,354.495404345557,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.5206949070130692,0.038592346532589715,0.041630263046686745,0.2095781995670568,0.0,0.020462128659449963,0.9402826586928886,0.006179886000040824,35,7.71472463689804e-08,score_tolerance_reached_not_global_certificate,,4.857154678461484e-10,0.033279071736023486
rho0.55_N1000_r002,0.55,deep,1000,2,794,491,134,169,206,411,383,True,-351.499672072003,354.495404345557,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.581666878796603,0.09705934567419731,0.10001557336237489,0.289830313045527,0.0,0.020462128659449963,1.0000000000000002,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r003,0.55,shallow,1000,3,761,353,214,194,239,380,381,True,-323.7200667876868,326.7157990612408,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.35955711020077485,0.008821905612147542,0.008334215794520794,0.18222294538552725,0.1425369565965509,0.1712581898853389,0.6407393363274292,0.007523172999981398,55,9.06926689402794e-08,score_tolerance_reached_not_global_certificate,True,9.517897581190482e-11,0.0
rho0.55_N1000_r003,0.55,shallow,1000,3,761,353,214,194,239,380,381,True,-323.7200667876868,326.7157990612408,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.4003358775378867,0.022281137060927513,0.051878020592915644,0.19843088665139497,0.0,0.1712581898853389,0.7550825998862262,0.007891303999940646,71,8.51304766680272e-08,score_tolerance_reached_not_global_certificate,,7.986544758864511e-11,0.1425369565965509
rho0.55_N1000_r003,0.55,shallow,1000,3,761,353,214,194,239,380,381,True,-323.7200667876868,326.7157990612408,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.6882217715045672,0.1632162374837747,0.19236767917645053,0.4413106882025538,0.0,0.1712581898853389,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r003,0.55,deep,1000,3,807,467,184,156,193,408,399,True,-320.60431863375277,323.60005090730675,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.5459825968751986,0.007440660523609684,0.007725535934309522,0.20832488501785767,0.033279071736023486,0.020462128659449963,0.9200523860509846,0.011051304999909917,70,9.527559329997523e-08,score_tolerance_reached_not_global_certificate,True,2.6066881986253065e-10,0.0
rho0.55_N1000_r003,0.55,deep,1000,3,807,467,184,156,193,408,399,True,-320.60431863375277,323.60005090730675,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.611995310030884,0.03762447019305997,0.04064464602052027,0.22676280566114018,0.0,0.020462128659449963,0.9603363614521331,0.010344755000005534,71,8.51304766680272e-08,score_tolerance_reached_not_global_certificate,,2.348157224218994e-10,0.033279071736023486
rho0.55_N1000_r003,0.55,deep,1000,3,807,467,184,156,193,408,399,True,-320.60431863375277,323.60005090730675,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.693990053000026,0.10826226672551086,0.11114393316413655,0.34699978643820917,0.0,0.020462128659449963,1.0000000000000002,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r004,0.55,shallow,1000,4,756,380,183,193,244,374,382,True,-314.2159086129885,317.2116408865425,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.3193868393126517,0.006867152405136587,0.008996579442005269,0.1640539863529773,0.14253695659655094,0.1712581898853389,0.6925973054133562,0.006515368999998827,42,8.958970973195853e-08,score_tolerance_reached_not_global_certificate,True,1.1972645097557688e-12,2.7755575615628914e-17
rho0.55_N1000_r004,0.55,shallow,1000,4,756,380,183,193,244,374,382,True,-314.2159086129885,317.2116408865425,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3590997306728565,0.021890823683011606,0.05140331554618331,0.18671837260184132,0.0,0.1712581898853389,0.7867732570368025,0.006308145000048171,55,9.888251750744814e-08,score_tolerance_reached_not_global_certificate,,4.440892098500626e-15,0.1425369565965509
rho0.55_N1000_r004,0.55,shallow,1000,4,756,380,183,193,244,374,382,True,-314.2159086129885,317.2116408865425,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.5773052806608069,0.14071496805911676,0.1702564398026235,0.38504872699592996,0.0,0.1712581898853389,1.0000000000000002,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r004,0.55,deep,1000,4,802,483,152,167,198,402,400,True,-328.3260552107168,331.32178748427077,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.4759987335340892,0.006954282553343041,0.005771051862456681,0.18839751332453375,0.033279071736023486,0.020462128659449963,0.9080036062807741,0.011009963999981665,82,8.761240582897158e-08,score_tolerance_reached_not_global_certificate,True,1.0615242018729987e-10,0.0
rho0.55_N1000_r004,0.55,deep,1000,4,802,483,152,167,198,402,400,True,-328.3260552107168,331.32178748427077,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.5613304434496142,0.03712330699503763,0.040138055360685,0.2118962872289382,0.0,0.020462128659449963,0.949775712500666,0.009429048000015428,81,8.513428562118008e-08,score_tolerance_reached_not_global_certificate,,1.2683187833317788e-10,0.033279071736023486
rho0.55_N1000_r004,0.55,deep,1000,4,802,483,152,167,198,402,400,True,-328.3260552107168,331.32178748427077,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.6346780936734894,0.10058099416136967,0.10352864812140018,0.3137845199771008,0.0,0.020462128659449963,0.9999999999999999,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r005,0.55,shallow,1000,5,719,357,207,155,281,340,379,True,-318.82526459580146,321.82099686935544,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.3160206934005591,0.014482836490619976,0.01083197056959648,0.16913491619840615,0.1425369565965509,0.1712581898853389,0.6730645337940657,0.009086574000093606,66,9.218566416730305e-08,score_tolerance_reached_not_global_certificate,True,1.2709833185908792e-10,2.7755575615628914e-17
rho0.55_N1000_r005,0.55,shallow,1000,5,719,357,207,155,281,340,379,True,-318.82526459580146,321.82099686935544,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3615726618316888,0.019153744031616,0.0448778407107823,0.18430796769104946,0.0,0.1712581898853389,0.7700162719742258,0.00804713399998036,65,9.07070523137321e-08,score_tolerance_reached_not_global_certificate,,1.5898971028605047e-10,0.1425369565965509
rho0.55_N1000_r005,0.55,shallow,1000,5,719,357,207,155,281,340,379,True,-318.82526459580146,321.82099686935544,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.5956119717418837,0.1307921454872003,0.16032191274628682,0.38982596132898323,0.0,0.1712581898853389,0.9999999999999999,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.55_N1000_r005,0.55,deep,1000,5,781,474,176,131,219,373,408,True,-346.78945215863234,349.7851844321863,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.45584789910164747,0.015190330745736348,0.016158045146951665,0.1908628754279068,0.033279071736023486,0.020462128659449963,0.8935689103123536,0.015421867999975802,108,9.600454682820621e-08,score_tolerance_reached_not_global_certificate,True,1.1034817504196326e-10,0.0
rho0.55_N1000_r005,0.55,deep,1000,5,781,474,176,131,219,373,408,True,-346.78945215863234,349.7851844321863,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.5483216412645726,0.027848964773619086,0.03055561547005326,0.21161397066205756,0.0,0.020462128659449963,0.9468893889389325,0.013777818999983538,106,9.830965974622075e-08,score_tolerance_reached_not_global_certificate,,1.4364864853178005e-10,0.033279071736023486
