rho,design,shift_of_reference_in_sigma_units,initial_invisible,final_invisible,max_resolved_Q_mass_difference_from_default,max_record_law_difference,mean_loglik,score,iterations,tail_feasible
0.55,shallow,-1.0,0.3874556190002601,0.38745561900026015,3.613301605953527e-06,1.3408028079997777e-05,-4.075893645313978,7.592388805799766e-10,53,True
0.55,shallow,0.0,0.1425369565965509,0.1425369565965509,3.0477555826302627e-09,6.784054894237723e-09,-4.075893645313979,8.406375257388503e-10,49,True
0.55,shallow,1.0,0.033279071736023486,0.033279071736023486,4.05390274204797e-06,1.0681543504574539e-05,-4.075893645313979,6.917522028608029e-10,46,True
0.55,deep,-1.0,0.14253695659655094,0.14253695659655094,1.1304928359056837e-05,2.6116709991627195e-05,-4.359019413202715,7.873222587182852e-10,57,True
0.55,deep,0.0,0.033279071736023486,0.033279071736023486,9.558018881569708e-10,1.6692494610951597e-09,-4.359019413202728,7.441462496051536e-10,56,True
0.55,deep,1.0,0.005754463476135393,0.005754463476135394,8.092632183901626e-06,1.4264338116528791e-05,-4.35901941320275,7.95179603973248e-10,55,True
0.9,shallow,-1.0,0.3874556190002601,0.38745561900026015,4.726411585026513e-09,6.066769735885158e-09,-3.6766682980448446,7.973812954499829e-10,55,True
0.9,shallow,0.0,0.1425369565965509,0.1425369565965509,4.7013518182648095e-09,6.037206946168938e-09,-3.6766682980448446,9.622547748074432e-10,52,True
0.9,shallow,1.0,0.033279071736023486,0.033279071736023486,4.717168253232096e-09,6.047726500146844e-09,-3.6766682980448437,8.730219053285233e-10,51,True
0.9,deep,-1.0,0.14253695659655094,0.14253695659655094,4.841670658744914e-06,1.1185255155837277e-05,-3.8880478929564677,9.41450030997448e-10,67,True
0.9,deep,0.0,0.033279071736023486,0.033279071736023486,2.111602815345337e-10,2.111602815345337e-10,-3.888047892956556,9.772332742491946e-10,66,True
0.9,deep,1.0,0.005754463476135393,0.005754463476135394,3.465909598441418e-06,6.109125616740275e-06,-3.888047892956415,8.34746546019516e-10,66,True
