rho,design,parent_n,method,replicates,observed_n_mean,observed_n_sd,A_mean,A_sd,B_mean,B_sd,C_mean,C_sd,D_mean,D_sd,resolved_bin_L1_Q_mean,resolved_bin_L1_Q_sd,bright_probability_RMSE_Q_mean,bright_probability_RMSE_Q_sd,bright_probability_RMSE_P_reference_mean,bright_probability_RMSE_P_reference_sd,record_law_TV_mean,record_law_TV_sd,seconds_mean,seconds_sd,iterations_mean,iterations_sd,budget_exhausted,tail_violations,true_membership_count
0.55,shallow,1000,D_completion,20,755.7,17.091395188037872,365.75,15.87740864445952,194.45,14.915463540620484,195.5,13.862102825215304,244.3,17.091395188037875,0.30805046032686895,0.0253447203649281,0.009293555728098856,0.003275731113011932,0.008725491321985315,0.002406356665131848,0.16544388658600123,0.011739720241091975,0.007609771300002422,0.0017278735794134714,52.8,12.024536318886085,0,0,20
0.55,shallow,1000,no_D_ablation,20,755.7,17.091395188037872,365.75,15.87740864445952,194.45,14.915463540620484,195.5,13.862102825215304,244.3,17.091395188037875,0.3565475769914893,0.027853907648724537,0.021353630445831034,0.004504308276329203,0.050295227217060624,0.005646735403663545,0.1857885927366374,0.010257619835142093,0.008148636949994171,0.004974050911065208,68.3,40.16557835025566,0,0,20
0.55,shallow,1000,A_only_histogram,20,755.7,17.091395188037872,365.75,15.87740864445952,194.45,14.915463540620484,195.5,13.862102825215304,244.3,17.091395188037875,0.6035140110096566,0.03675561394713117,0.14863175456179584,0.00951727595982321,0.17801534223820956,0.009380211125577355,0.40138935766298756,0.020279325706054636,0.0,0.0,0.0,0.0,0,0,20
0.55,shallow,4000,D_completion,20,3027.95,25.9705805216514,1484.1,27.29545942575721,779.65,19.770459090056026,764.2,23.25737008257586,972.05,25.9705805216514,0.1599224306634362,0.011793625930770176,0.004582008011923656,0.0011669735817486763,0.0067987651427185965,0.0018277830710718534,0.08438182612820544,0.006450712637072183,0.006757514599996739,0.0017039939983320494,43.55,5.384920465619955,0,0,20
0.55,shallow,4000,no_D_ablation,20,3027.95,25.9705805216514,1484.1,27.29545942575721,779.65,19.770459090056026,764.2,23.25737008257586,972.05,25.9705805216514,0.20422268690923548,0.011001326474005837,0.022026152019019443,0.0024443092687823063,0.051999429475355984,0.0025913202063413614,0.1111767573843198,0.006461044940024735,0.005562573849977071,0.0016287381630698484,45.35,4.331949846626137,0,0,20
0.55,shallow,4000,A_only_histogram,20,3027.95,25.9705805216514,1484.1,27.29545942575721,779.65,19.770459090056026,764.2,23.25737008257586,972.05,25.9705805216514,0.4781838610660561,0.017144360056783905,0.14713039863014643,0.005246462715037357,0.1766417038831164,0.005153131421034101,0.33995804735327273,0.007672512960012315,0.0,0.0,0.0,0.0,0,0,20
0.55,shallow,16000,D_completion,20,12126.75,65.4296528623239,5946.5,76.45810686423748,3089.0,63.42338934328151,3091.25,49.84700276055248,3873.25,65.4296528623239,0.07877575934938587,0.004818591824339484,0.0025057303285604864,0.0008782504920446203,0.0058192804238514,0.0016111882415717027,0.04225918639211851,0.0019220893694426096,0.006003997250007842,0.000887773864155173,39.65,3.483419372730735,0,0,20
0.55,shallow,16000,no_D_ablation,20,12126.75,65.4296528623239,5946.5,76.45810686423748,3089.0,63.42338934328151,3091.25,49.84700276055248,3873.25,65.4296528623239,0.13770398178331592,0.004861825508634153,0.021518334429576586,0.0015853595584168596,0.05170321540660185,0.0016270642593811926,0.07567890288355382,0.0022311758282004776,0.005044064450021324,0.0007599875835040846,41.1,3.401238164644102,0,0,20
0.55,shallow,16000,A_only_histogram,20,12126.75,65.4296528623239,5946.5,76.45810686423748,3089.0,63.42338934328151,3091.25,49.84700276055248,3873.25,65.4296528623239,0.44529844818119635,0.007414448082639593,0.14644354246074245,0.0017452779384501246,0.17598605376041526,0.001710639998812169,0.32140509284712,0.003206820796532517,0.0,0.0,0.0,0.0,0,0,20
0.55,deep,1000,D_completion,20,806.9,14.610378430921521,480.6,17.064583206161235,163.05,16.103203342650083,163.25,9.967711029012365,193.1,14.610378430921523,0.4726941468878086,0.029263846603802563,0.008607642010065995,0.003026366930428584,0.008703263922781753,0.0036156142309375877,0.19412705005502404,0.010281804691284408,0.012392043749997583,0.00428125025142873,83.6,28.678618479535178,0,0,20
0.55,deep,1000,no_D_ablation,20,806.9,14.610378430921521,480.6,17.064583206161235,163.05,16.103203342650083,163.25,9.967711029012365,193.1,14.610378430921523,0.555367966202178,0.027191641550764225,0.034991230435103146,0.005555698240133507,0.03797150503469458,0.005613384490380224,0.21433905840067902,0.009194968527022047,0.011252963100002945,0.004791342096980819,93.6,41.084508541605594,0,0,20
0.55,deep,1000,A_only_histogram,20,806.9,14.610378430921521,480.6,17.064583206161235,163.05,16.103203342650083,163.25,9.967711029012365,193.1,14.610378430921523,0.6351353437726407,0.030277845480496644,0.09870196508523368,0.0084512660939741,0.10161425212841368,0.00844964366949635,0.3202379257169756,0.015468437442820662,0.0,0.0,0.0,0.0,0,0,20
0.55,deep,4000,D_completion,20,3231.1,23.492215956063312,1927.15,22.00305002781014,654.55,22.647121346059812,649.4,20.09294193963327,768.9,23.492215956063315,0.24222934807046065,0.016181781425987203,0.004194080999424087,0.0011296314735072797,0.004273324702753217,0.0013288488147687135,0.09908532897304079,0.00605551822789026,0.010043271900013907,0.002917783682185924,66.7,20.878344358638564,0,0,20
0.55,deep,4000,no_D_ablation,20,3231.1,23.492215956063312,1927.15,22.00305002781014,654.55,22.647121346059812,649.4,20.09294193963327,768.9,23.492215956063315,0.38666601297700726,0.01675304547718356,0.03649838418322275,0.0024413059571925144,0.039542654517224204,0.002452493276999295,0.1358013061734598,0.0063518490298470065,0.007630889899991189,0.002304606198050076,65.75,20.26112429986887,0,0,20
0.55,deep,4000,A_only_histogram,20,3231.1,23.492215956063312,1927.15,22.00305002781014,654.55,22.647121346059812,649.4,20.09294193963327,768.9,23.492215956063315,0.48415930440014554,0.016067678137718398,0.10034768962536385,0.004529717276178447,0.10328503595895808,0.00451961874049043,0.25362610357524434,0.00690804986103939,0.0,0.0,0.0,0.0,0,0,20
0.55,deep,16000,D_completion,20,12936.4,63.075059713762755,7723.3,64.63346045606963,2601.0,63.35032089811966,2612.1,44.28840884356467,3063.6,63.07505971376275,0.12151255255153011,0.005720845767182186,0.0024431257409711755,0.0009312628674528939,0.0026856166962113738,0.0011940506346060197,0.049911424246348084,0.0019197902360725896,0.012636175799985949,0.005344057535912729,75.5,29.496654582832736,0,0,20
0.55,deep,16000,no_D_ablation,20,12936.4,63.075059713762755,7723.3,64.63346045606963,2601.0,63.35032089811966,2612.1,44.28840884356467,3063.6,63.07505971376275,0.3230123388914891,0.010000547208135235,0.03623163627929305,0.0017082456615203005,0.03929068174334368,0.0017109703707151693,0.1020079546926973,0.0026817920622260534,0.0089749415999961,0.0036400201572630345,74.3,28.961135482246764,0,0,20
0.55,deep,16000,A_only_histogram,20,12936.4,63.075059713762755,7723.3,64.63346045606963,2601.0,63.35032089811966,2612.1,44.28840884356467,3063.6,63.07505971376275,0.4375956177589301,0.011975087394197271,0.09976086350130894,0.0019113034229339563,0.10270244054013522,0.0019121943293081715,0.23085584821870914,0.004358862929983321,0.0,0.0,0.0,0.0,0,0,20
0.9,shallow,1000,D_completion,20,709.25,12.510521887384908,411.0,13.416407864998739,145.5,8.988296483995759,152.75,12.04323352277994,290.75,12.510521887384908,0.2781709504192742,0.02993252682405405,0.011129781688764561,0.00423905284251988,0.026067817423167338,0.006136949272531954,0.13109098383404683,0.011523550180633604,0.007999632000013435,0.0013749884662636463,52.45,7.850410649668019,0,0,20
0.9,shallow,1000,no_D_ablation,20,709.25,12.510521887384908,411.0,13.416407864998739,145.5,8.988296483995759,152.75,12.04323352277994,290.75,12.510521887384908,0.3077044453009075,0.03232426336530783,0.018957302723261304,0.0049519978987677985,0.07343137430037963,0.006791449323309513,0.14351758012054816,0.011610481422966444,0.005853113049988678,0.0011604037265583987,50.05,7.458481572573673,0,0,20
0.9,shallow,1000,A_only_histogram,20,709.25,12.510521887384908,411.0,13.416407864998739,145.5,8.988296483995759,152.75,12.04323352277994,290.75,12.510521887384908,0.5497337303401608,0.034989134676700756,0.13024497329442436,0.010580159706013142,0.18440137150184574,0.010074601441400842,0.32844696522460715,0.017102529870456996,0.0,0.0,0.0,0.0,0,0,20
0.9,shallow,4000,D_completion,20,2847.9,28.119856254779712,1657.3,35.064001633103935,591.35,19.83424736210206,599.25,30.362502843925242,1152.1,28.119856254779712,0.14915118434328675,0.014444126472128654,0.005788395193652171,0.002498362945295665,0.024994263865385315,0.0036905453635310915,0.06904169042647179,0.005095291428975076,0.0067380555999818625,0.0012553089723476504,44.6,7.755473449187524,0,0,20
0.9,shallow,4000,no_D_ablation,20,2847.9,28.119856254779712,1657.3,35.064001633103935,591.35,19.83424736210206,599.25,30.362502843925242,1152.1,28.119856254779712,0.17369011498521394,0.011697904876081995,0.01696982838332374,0.0035361797964317794,0.07363835658055592,0.0036205336214469143,0.0839666117928526,0.004602680784055094,0.005536453850010048,0.0013133115768133887,44.45,7.870497877650769,0,0,20
0.9,shallow,4000,A_only_histogram,20,2847.9,28.119856254779712,1657.3,35.064001633103935,591.35,19.83424736210206,599.25,30.362502843925242,1152.1,28.119856254779712,0.4693497240899024,0.018162263315246664,0.13099742976664952,0.0045660877180947025,0.18518636600814053,0.004329913267264299,0.29017188600495497,0.009188632621147053,0.0,0.0,0.0,0.0,0,0,20
0.9,shallow,16000,D_completion,20,11393.5,60.069696362247676,6591.9,61.72511218041009,2391.1,41.57542290192229,2410.5,55.73197135916643,4606.5,60.069696362247676,0.07643638790116236,0.0072929639166008885,0.0030000761040795266,0.0012347267821057504,0.02331922741766823,0.0017614973845374569,0.03549491084278723,0.0030572467214420146,0.0065713791500002115,0.0014207750644931185,41.2,6.645932669884008,0,0,20
0.9,shallow,16000,no_D_ablation,20,11393.5,60.069696362247676,6591.9,61.72511218041009,2391.1,41.57542290192229,2410.5,55.73197135916643,4606.5,60.069696362247676,0.11029606842447748,0.006022897171153717,0.015116799379096066,0.0017433252501806126,0.07203951605883828,0.0019859280283018492,0.05495868322152888,0.0028115938144578126,0.004971748250005703,0.0012157172021051482,41.85,6.217758946420283,0,0,20
0.9,shallow,16000,A_only_histogram,20,11393.5,60.069696362247676,6591.9,61.72511218041009,2391.1,41.57542290192229,2410.5,55.73197135916643,4606.5,60.069696362247676,0.4455173926820864,0.011038326825053655,0.12852408854187042,0.002691968504152376,0.1829098310482634,0.0025889833033623418,0.27753882877841196,0.005612465786892485,0.0,0.0,0.0,0.0,0,0,20
0.9,deep,1000,D_completion,20,776.45,10.58536725862641,503.0,11.800981225929345,134.5,8.319286406645073,138.95,10.694194194687332,223.55,10.58536725862641,0.3596728819214263,0.03218024033410631,0.009419797805508487,0.00481489305108018,0.009407042731487401,0.004443230612961843,0.14518883046119802,0.01086421978003227,0.008695782699976461,0.0021975322085120274,52.8,7.790682694225535,0,0,20
0.9,deep,1000,no_D_ablation,20,776.45,10.58536725862641,503.0,11.800981225929345,134.5,8.319286406645073,138.95,10.694194194687332,223.55,10.58536725862641,0.4797038423235719,0.03480939182134366,0.04412310580624561,0.006279648109682745,0.052044180577067854,0.006467298534608179,0.1712867911456992,0.011455675463824018,0.005898520449994749,0.0007975872185238259,50.05,7.458481572573673,0,0,20
0.9,deep,1000,A_only_histogram,20,776.45,10.58536725862641,503.0,11.800981225929345,134.5,8.319286406645073,138.95,10.694194194687332,223.55,10.58536725862641,0.5900295106326511,0.03653008586477936,0.11243686609803798,0.011224475274801474,0.1200104013475765,0.011167660349488991,0.29637956633491175,0.016923229027353385,0.0,0.0,0.0,0.0,0,0,20
0.9,deep,4000,D_completion,20,3111.75,25.362373705944798,2031.25,34.548021498686204,536.2,20.226610924069416,544.3,30.41312043735141,888.25,25.362373705944798,0.18989060472454306,0.0135731340363079,0.005415446239804342,0.00267897465121403,0.005828705463479084,0.0031615732412571653,0.0764948801880461,0.004433301131391048,0.00839441779999106,0.0025196786074529976,52.1,12.489574599809657,0,0,20
0.9,deep,4000,no_D_ablation,20,3111.75,25.362373705944798,2031.25,34.548021498686204,536.2,20.226610924069416,544.3,30.41312043735141,888.25,25.362373705944798,0.3655340210873727,0.015448864939893524,0.04443248511569751,0.003574727717190025,0.05249638195051463,0.0035762081921488615,0.11719462285770288,0.004544820776475631,0.006117752450006719,0.00154783514135514,51.3,12.337789616928104,0,0,20
0.9,deep,4000,A_only_histogram,20,3111.75,25.362373705944798,2031.25,34.548021498686204,536.2,20.226610924069416,544.3,30.41312043735141,888.25,25.362373705944798,0.5009748239149193,0.020138212568552888,0.11261633721678062,0.004392858828446542,0.12019290266887961,0.00437300685747473,0.2537887416346871,0.009645680324144344,0.0,0.0,0.0,0.0,0,0,20
0.9,deep,16000,D_completion,20,12473.4,58.4171928549518,8104.45,65.97964199580608,2176.5,38.295939045392544,2192.45,54.28334531831442,3526.6,58.4171928549518,0.09649879505925471,0.0055155393113914515,0.002486731027001848,0.0011918696133134136,0.0025004430977008845,0.0007140752789538987,0.03914098188298816,0.002400481706122377,0.009728406900006804,0.0028437069624110693,56.05,15.418631927843528,0,0,20
0.9,deep,16000,no_D_ablation,20,12473.4,58.4171928549518,8104.45,65.97964199580608,2176.5,38.295939045392544,2192.45,54.28334531831442,3526.6,58.4171928549518,0.32640875803220587,0.007214277101324645,0.042485880075202764,0.0017019387721610177,0.050567122427708,0.0017126134258328898,0.09267507445784053,0.002660862637091479,0.007438449350024712,0.0023728578499338546,55.55,14.865980237476863,0,0,20
0.9,deep,16000,A_only_histogram,20,12473.4,58.4171928549518,8104.45,65.97964199580608,2176.5,38.295939045392544,2192.45,54.28334531831442,3526.6,58.4171928549518,0.4748141884671182,0.01007432401109831,0.10975434301814826,0.002437161124533035,0.11735854196164634,0.0024254929806807987,0.23962124605978136,0.005176144852933702,0.0,0.0,0.0,0.0,0,0,20
