A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
47,113,126,114,not_certified,0.11111111111111108,53,9.079285662067065e-09,True,True,0.48385946583425465,0.39981476342193845,0.11111111111111108,0.5361328125,0.435791015625,0.203125,lambda0_N400_r000,included,0.013748280966835455,-3/4,4.440892098500626e-16,0.04926486233098725,400,0.0,0.06453254797044222,0,0.19497378282485606,computed,146,True,0.203125,140
42,100,121,137,not_certified,0.11111111111111127,37,7.09777078682859e-09,True,True,0.43469479600715055,0.3530146125974446,0.11111111111111127,0.5361328125,0.435791015625,0.203125,lambda0_N400_r001,included,0.02302451977334274,-3/4,1.1102230246251565e-15,0.07163568087972766,400,0.0,0.09239076403450841,1,0.21358751322692143,computed,127,True,0.203125,136
47,119,121,113,not_certified,0.11111111111111131,45,7.893176924301197e-09,True,True,0.43373318963012564,0.3316064088212705,0.11111111111111131,0.5361328125,0.435791015625,0.203125,lambda0_N400_r002,included,0.02359050602116701,-3/4,6.661338147750939e-16,0.07359707510516064,400,0.0,0.09967726388566413,2,0.22021124919830265,computed,140,True,0.203125,147
59,124,100,117,not_certified,0.1111111111111109,42,7.046420675061286e-09,True,True,0.4481468900757528,0.33933575308356234,0.1111111111111109,0.5361328125,0.435791015625,0.203125,lambda0_N400_r003,included,0.020019967125590312,-3/4,5.551115123125783e-16,0.06259716419231387,400,-5.684341886080802e-14,0.09221658557483056,3,0.21160999785454598,computed,143,True,0.203125,140
54,114,110,122,not_certified,0.11111111111111101,25,6.7924425860078795e-09,True,True,0.4684488462363219,0.35532837685231666,0.11111111111111101,0.5361328125,0.435791015625,0.203125,lambda0_N400_r004,included,0.008539216845514393,-3/4,3.3306690738754696e-16,0.049867398464885096,400,5.684341886080802e-14,0.0806678607540468,4,0.20707215820872527,computed,133,True,0.203125,145
49,108,117,126,not_certified,0.11111111111111079,45,7.663047189499679e-09,True,True,0.5180921907843128,0.3945283733384432,0.11111111111111079,0.5361328125,0.435791015625,0.203125,lambda0_N400_r005,included,0.03037983706961546,-3/4,8.881784197001252e-16,0.054674663054954845,400,0.0,0.05914565475393133,5,0.18100481959987486,computed,146,True,0.203125,128
51,112,117,120,not_certified,0.11111111111111131,37,7.76405865313531e-09,True,True,0.45029233538752067,0.3518540174373454,0.11111111111111131,0.5361328125,0.435791015625,0.203125,lambda0_N400_r006,included,0.009388094763744661,-3/4,6.661338147750939e-16,0.04398817161398144,400,0.0,0.08733186307434641,6,0.21566988596193853,computed,132,True,0.203125,148
44,105,119,132,not_certified,0.11111111111111091,48,7.169606440876028e-09,True,True,0.5257893635501112,0.4078461085573017,0.11111111111111091,0.5361328125,0.435791015625,0.203125,lambda0_N400_r007,included,0.04041775980516545,-3/4,4.440892098500626e-16,0.10306411738022611,400,-5.684341886080802e-14,0.05584042894909887,7,0.17100836538097644,computed,113,True,0.203125,155
47,120,124,109,not_certified,0.11111111111111104,36,6.8870685405097505e-09,True,True,0.5073395797196604,0.3835341193432469,0.11111111111111104,0.5361328125,0.435791015625,0.203125,lambda0_N400_r008,included,0.023182675719195644,-3/4,3.3306690738754696e-16,0.046026573375208935,400,-5.684341886080802e-14,0.06331505669112608,8,0.1948996261325383,computed,164,True,0.203125,127
49,104,129,118,not_certified,0.11111111111111147,36,7.246346022832684e-09,True,True,0.4607592271130763,0.3575294651196862,0.11111111111111147,0.5361328125,0.435791015625,0.203125,lambda0_N400_r009,included,0.00891683919389136,-3/4,1.1102230246251565e-15,0.06831297549244522,400,-5.684341886080802e-14,0.0822042241616013,9,0.2085104889332626,computed,137,True,0.203125,145
58,106,111,125,not_certified,0.11111111111111127,34,7.2580300266880924e-09,True,True,0.5016479027433687,0.3777271509015949,0.11111111111111127,0.5361328125,0.435791015625,0.203125,lambda0_N400_r010,included,0.020024031665136333,-3/4,6.661338147750939e-16,0.04089165305936732,400,-5.684341886080802e-14,0.06589683132492703,10,0.1923610994004038,computed,131,True,0.203125,144
