resolution,depth,lambda,target,target_index,true_survival,lower_out,lower_in,upper_in,upper_out,lower_display,upper_display,gap_max,analytic_lower,analytic_upper
coarse,2,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,341/816,341/816,877/1352,877/1352,0.4178921568627451,0.6486686390532544,0.0,,
coarse,2,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,35/204,35/204,877/1352,877/1352,0.1715686274509804,0.6486686390532544,0.0,,
coarse,2,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,0,0,67/169,67/169,0.0,0.39644970414201186,0.0,,
coarse,2,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,5/12,5/12,13/20,13/20,0.4166666666666667,0.65,0.0,,
coarse,2,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,1/6,1/6,13/20,13/20,0.16666666666666666,0.65,0.0,,
coarse,2,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,0,0,2/5,2/5,0.0,0.4,0.0,,
coarse,2,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,299/720,299/720,787/1208,787/1208,0.4152777777777778,0.6514900662251656,0.0,,
coarse,2,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,29/180,29/180,787/1208,787/1208,0.16111111111111112,0.6514900662251656,0.0,,
coarse,2,3/4,"(Fraction(2, 1), Fraction(2, 1))",2,19/64,0,0,61/151,61/151,0.0,0.40397350993377484,0.0,,
coarse,3,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,512/987,512/987,877/1352,877/1352,0.5187436676798379,0.6486686390532544,0.0,,
coarse,3,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,4832058885418241705/15335183665298419832,311/987,877/1352,877/1352,0.315096251266464,0.6486686390532544,2.6459850466927586e-16,,
coarse,3,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,110/987,110/987,1/2,1/2,0.11144883485309018,0.5,0.0,,
coarse,3,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,8/15,8/15,13/20,13/20,0.5333333333333333,0.65,0.0,,
coarse,3,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,1/3,1/3,13/20,13/20,0.3333333333333333,0.65,0.0,,
coarse,3,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,2/15,2/15,1/2,1/2,0.13333333333333333,0.5,0.0,,
coarse,3,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,512/933,512/933,787/1208,787/1208,0.5487674169346195,0.6514900662251656,0.0,,
coarse,3,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,329/933,329/933,787/1208,787/1208,0.35262593783494106,0.6514900662251656,0.0,,
coarse,3,3/4,"(Fraction(2, 1), Fraction(2, 1))",2,19/64,146/933,146/933,1/2,1/2,0.1564844587352626,0.5,0.0,,
coarse,4,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,549/1024,549/1024,877/1352,877/1352,0.5361328125,0.6486686390532544,0.0,,
coarse,4,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,87/256,87/256,877/1352,877/1352,0.33984375,0.6486686390532544,0.0,,
coarse,4,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,147/1024,147/1024,1/2,1/2,0.1435546875,0.5,0.0,,
coarse,4,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,9/16,9/16,13/20,13/20,0.5625,0.65,0.0,,
coarse,4,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,3/8,3/8,13/20,13/20,0.375,0.65,0.0,,
coarse,4,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,3/16,3/16,1/2,1/2,0.1875,0.5,0.0,,
coarse,4,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,603/1024,603/1024,787/1208,787/1208,0.5888671875,0.6514900662251656,0.0,,
coarse,4,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,105/256,105/256,787/1208,787/1208,0.41015625,0.6514900662251656,0.0,,
coarse,4,3/4,"(Fraction(2, 1), Fraction(2, 1))",2,19/64,237/1024,237/1024,1/2,1/2,0.2314453125,0.5,0.0,,
aligned,2,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,341/816,341/816,877/1352,877/1352,0.4178921568627451,0.6486686390532544,0.0,341/816,877/1352
aligned,2,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,953/3264,953/3264,3097/5408,3097/5408,0.2919730392156863,0.5726701183431953,0.0,953/3264,3097/5408
aligned,2,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,0,0,67/169,67/169,0.0,0.39644970414201186,0.0,0,67/169
aligned,2,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,5/12,5/12,13/20,13/20,0.4166666666666667,0.65,0.0,5/12,13/20
aligned,2,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,7/24,7/24,23/40,23/40,0.2916666666666667,0.575,0.0,7/24,23/40
aligned,2,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,0,0,2/5,2/5,0.0,0.4,0.0,0,2/5
aligned,2,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,299/720,299/720,787/1208,787/1208,0.4152777777777778,0.6514900662251656,0.0,299/720,787/1208
aligned,2,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,839/2880,839/2880,2791/4832,2791/4832,0.29131944444444446,0.5776076158940397,0.0,839/2880,2791/4832
aligned,2,3/4,"(Fraction(2, 1), Fraction(2, 1))",2,19/64,0,0,61/151,61/151,0.0,0.40397350993377484,0.0,0,61/151
aligned,3,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,512/987,512/987,877/1352,877/1352,0.5187436676798379,0.6486686390532544,0.0,512/987,877/1352
aligned,3,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,1637/3948,1637/3948,3097/5408,3097/5408,0.4146403242147923,0.5726701183431953,0.0,1637/3948,3097/5408
aligned,3,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,154127999996454727/889615999979538832,57/329,67/169,67/169,0.17325227963525835,0.39644970414201186,3.698224852156065e-16,57/329,67/169
aligned,3,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,8/15,8/15,13/20,13/20,0.5333333333333333,0.65,0.0,8/15,13/20
aligned,3,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,13/30,13/30,23/40,23/40,0.43333333333333335,0.575,0.0,13/30,23/40
aligned,3,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,1/5,1/5,2/5,2/5,0.2,0.4,0.0,1/5,2/5
aligned,3,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,512/933,512/933,787/1208,787/1208,0.5487674169346195,0.6514900662251656,0.0,512/933,787/1208
aligned,3,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,1691/3732,1691/3732,2791/4832,2791/4832,0.45310825294748125,0.5776076158940397,0.0,1691/3732,2791/4832
aligned,3,3/4,"(Fraction(2, 1), Fraction(2, 1))",2,19/64,851999999930987/3731999999697708,71/311,61/151,61/151,0.2282958199356913,0.40397350993377484,2.6795284032181135e-16,71/311,61/151
aligned,4,-3/4,"(Fraction(1, 1), Fraction(1, 1))",0,549/1024,549/1024,549/1024,877/1352,877/1352,0.5361328125,0.6486686390532544,0.0,549/1024,877/1352
aligned,4,-3/4,"(Fraction(3, 2), Fraction(1, 1))",1,1785/4096,446249999952251/1023999999890432,1785/4096,3097/5408,3097/5408,0.435791015625,0.5726701183431953,2.4414062502612303e-16,1785/4096,3097/5408
aligned,4,-3/4,"(Fraction(2, 1), Fraction(2, 1))",2,13/64,13/64,13/64,67/169,67/169,0.203125,0.39644970414201186,0.0,13/64,67/169
aligned,4,0,"(Fraction(1, 1), Fraction(1, 1))",0,9/16,9/16,9/16,13/20,13/20,0.5625,0.65,0.0,9/16,13/20
aligned,4,0,"(Fraction(3, 2), Fraction(1, 1))",1,15/32,15/32,15/32,23/40,23/40,0.46875,0.575,0.0,15/32,23/40
aligned,4,0,"(Fraction(2, 1), Fraction(2, 1))",2,1/4,1/4,1/4,2/5,2/5,0.25,0.4,0.0,1/4,2/5
aligned,4,3/4,"(Fraction(1, 1), Fraction(1, 1))",0,603/1024,603/1024,603/1024,787/1208,787/1208,0.5888671875,0.6514900662251656,0.0,603/1024,787/1208
aligned,4,3/4,"(Fraction(3, 2), Fraction(1, 1))",1,2055/4096,2055/4096,2055/4096,2791/4832,2791/4832,0.501708984375,0.5776076158940397,0.0,2055/4096,2791/4832
