resolution,depth,lambda,parent_n,replicates,membership_accepted,membership_undecided,em_stopped,outside_tail,mean_observed_n,mean_observed_law_TV,mean_reference_RMSE,mean_invisible_initial,mean_true_invisible,mean_iterations,mean_Shat_0,mean_Shat_1,mean_Shat_2
coarse,2,-3/4,400,20,20,0,20,0,281.45,0.059385305448141856,0.07656439691138481,0.11111111111111112,0.203125,39.95,0.4769162336183387,0.36673622783628124,0.11111111111111113
coarse,2,-3/4,1600,20,20,0,20,0,1131.0,0.029562129659363123,0.07352010042738281,0.11111111111111112,0.203125,41.35,0.4796183402918396,0.36970991436323597,0.11111111111111116
coarse,2,0,400,20,20,0,20,0,270.8,0.06348354618362587,0.11161604350348506,0.11111111111111112,0.25,39.4,0.4798768823167766,0.3687917124061235,0.11111111111111105
coarse,2,0,1600,20,20,0,20,0,1064.35,0.03319893559488636,0.10853390086636158,0.11111111111111112,0.25,40.8,0.48371476411533676,0.370700299452897,0.11111111111111112
coarse,2,3/4,400,20,20,0,20,0,250.95,0.0644850571172666,0.14821103355642806,0.11111111111111112,0.296875,37.75,0.477522183462316,0.36611191763830075,0.11111111111111108
coarse,2,3/4,1600,20,20,0,20,0,1005.55,0.027549407687559,0.1460636722377276,0.11111111111111112,0.296875,41.0,0.4811080777688785,0.3685097263024666,0.11111111111111109
coarse,3,-3/4,400,20,20,0,20,2,304.95,0.07420378156092325,0.05639975442503111,0.02777777777777778,0.0361328125,392.8,0.5325839307803311,0.43520188458142817,0.21199869254622578
coarse,3,-3/4,1600,20,20,0,20,0,1219.4,0.03640219183087841,0.0287471847848642,0.02777777777777778,0.0361328125,341.4,0.5297094028751007,0.4317576842456908,0.20618048057669477
coarse,3,0,400,20,20,0,20,1,295.4,0.07344661216986155,0.0489800023245314,0.02777777777777778,0.0625,378.6,0.5445082282667277,0.4467679626235214,0.21719704410539337
coarse,3,0,1600,20,20,0,20,0,1160.75,0.03873754817809333,0.03382688484795675,0.02777777777777778,0.0625,342.8,0.5457352658237944,0.44454287126221326,0.21584415212758143
coarse,3,3/4,400,20,20,0,20,2,276.7,0.07485606469936247,0.05459241396695658,0.02777777777777778,0.0888671875,332.5,0.5672936019604733,0.47943450909168905,0.27131937006012646
coarse,3,3/4,1600,20,20,0,20,0,1114.5,0.03724011827396237,0.057831014284273355,0.02777777777777778,0.0888671875,338.35,0.5518315450749072,0.45522204105724545,0.21797812468417882
coarse,4,-3/4,400,20,20,0,20,2,309.4,0.056930806298389626,0.054701656470661095,0.012345679012345678,0.0,260.35,0.5405238163616998,0.44486025750988034,0.23129499931413305
coarse,4,-3/4,1600,20,20,0,20,0,1238.95,0.029559198530048396,0.027840460208727276,0.012345679012345678,0.0,256.45,0.5398601645396892,0.4440778866880831,0.22576615035278075
coarse,4,0,400,20,20,0,20,1,303.65,0.05541710149899921,0.039057053322005826,0.012345679012345678,0.0,258.1,0.5655104549800882,0.4723560662736822,0.2527804540356799
coarse,4,0,1600,20,20,0,20,0,1195.95,0.029319837989846505,0.02277430866825006,0.012345679012345678,0.0,249.7,0.569392714046681,0.4735060183512285,0.25571808016119024
coarse,4,3/4,400,20,20,0,20,5,289.05,0.058971353242826784,0.049100324756725135,0.012345679012345678,0.0,225.0,0.6009736199983916,0.5199606676123524,0.32409161647523266
coarse,4,3/4,1600,20,20,0,20,0,1164.85,0.0284220083873624,0.025676870362714356,0.012345679012345678,0.0,241.85,0.5871992416438883,0.49825600335302783,0.27567432671455255
aligned,2,-3/4,400,20,20,0,20,0,281.45,0.07506553159439254,0.07602978822553082,0.11111111111111112,0.203125,50.0,0.4772195896043462,0.3684440820369671,0.11111111111111116
aligned,2,-3/4,1600,20,20,0,20,0,1131.0,0.03850986368469812,0.07422620071018889,0.11111111111111112,0.203125,45.35,0.4795232811503702,0.36764990263675257,0.11111111111111112
aligned,2,0,400,20,20,0,20,0,270.8,0.08152475289176625,0.11189827234312924,0.11111111111111112,0.25,55.1,0.4798195105196772,0.36786109011155305,0.11111111111111109
aligned,2,0,1600,20,20,0,20,0,1064.35,0.043123485076565875,0.10800539858544071,0.11111111111111112,0.25,46.2,0.4836879453060243,0.3726621259844243,0.11111111111111108
aligned,2,3/4,400,20,19,0,20,0,250.95,0.08583228553169181,0.14803393632495615,0.11111111111111112,0.296875,48.45,0.47766925676396116,0.36759183201193724,0.11111111111111108
aligned,2,3/4,1600,20,20,0,20,0,1005.55,0.04033711217703226,0.14475556215507404,0.11111111111111112,0.296875,44.85,0.4810633692498314,0.373129758839569,0.11111111111111116
aligned,3,-3/4,400,20,20,0,20,0,304.95,0.09569833502389438,0.027039571570142213,0.02777777777777778,0.0361328125,54.45,0.5294696979835755,0.43183283174678666,0.20028918261676126
aligned,3,-3/4,1600,20,20,0,20,0,1219.4,0.04792505117886923,0.016415639001930996,0.02777777777777778,0.0361328125,47.5,0.5292811043653215,0.4281091314472997,0.1961323509029596
aligned,3,0,400,20,20,0,20,0,295.4,0.1007584263545358,0.03450253973167501,0.02777777777777778,0.0625,60.8,0.541726188107664,0.4428979574724753,0.2161530604020406
aligned,3,0,1600,20,20,0,20,0,1160.75,0.05140480411452266,0.02670205728584072,0.02777777777777778,0.0625,47.75,0.5456052746548218,0.4478862118335913,0.21769402517138955
