case,N,source_first_order_upper,nodes,leaves,mean_loglik_lower,global_mean_loglik_upper,global_mean_gap_upper,global_mean_gap_upper_float,global_total_gap_upper_float,GEM80_global_mean_gap_lower,GEM80_global_mean_gap_upper,GEM80_global_mean_gap_upper_float,precision_achieved,seconds
coarse_d3__lambda0_N400_r004,303,2760168280108120874678312095299856434460790127139639712508991384470419879804308476812130540833903675830989810926575693/426900461805101560638989803249314673252854749365254668818049520428955633616374996791022332948168612438852549778494100000000000000000,43,22,-245657462726752057778847310546859/151500000000000000000000000000000,-4549682636309470531241098612033161668160211/2805847089351000000000000000000000000000000,157257788447822927201157639047973213/187056472623400000000000000000000000000000,8.406968561009347e-07,0.0002547311473985832,58867318811422406263324270607/303000000000000000000000000000000,109496654649123618924265544103166321039/561169417870200000000000000000000000000000,0.00019512227709181845,True,1.0692674379999971
coarse_d3__lambda0_N400_r010,296,742174068949787046772678235943673360500844442633130940198815378539039468089451949039046593761272177292074695458927064863411/78564175968031257675014208269936558675977838084569081939282125412366092248616721905246350139947729166022688375475858659066726036990400000,67,34,-491269898920777776703739473738853/296000000000000000000000000000000,-165789104008487307758491136897947763379592823/99891327461886000000000000000000000000000000,14896622056985651464617754892018873179/15982612393901760000000000000000000000000000,9.320517628688491e-07,0.00027588732180917934,167539868380707195859107943/4000000000000000000000000000000,17108195406763143926321965730544823177261/399565309847544000000000000000000000000000000,4.2817018858045646e-05,True,1.6522160420000205
coarse_d3__lambda1_N400_r006,301,742336955667607794540588283802514940491683895053132923273117397507897529/118187814963715185393131900211937639119034586193325290526070732370567400000000000000000,39,20,-17620882484391305029130649868339/10750000000000000000000000000000,-3724342099660573066772807851062944908193346073579291307/2272116046287530432327901500000000000000000000000000000,1141505228668883417822079954916428769236211514331/2272116046287530432327901500000000000000000000000000000,5.023974151910148e-07,0.00015122162197249545,7499395988707980885270232913/30100000000000000000000000000000,9075804529323947449510464852012314373030376379601/36353856740600486917246424000000000000000000000000000,0.000249651765810805,True,0.9278831849999847
coarse_d3__lambda2_N400_r000,269,520430765577232218657457057863288975593649401646047407347542126130957/1059391624357182825545858039279998292659762638306368876963835507461200000000000000000,41,21,-1655301872143168393531609134769/1000000000000000000000000000000,-4642664392240075975512915755779197714044545665908575731/2804724470696619640470650500000000000000000000000000000,2549899591112397093503038861086937590404670043007/5609448941393239280941301000000000000000000000000000000,4.5457220802852504e-07,0.00012227992395967324,1648507860570965791643377917/13450000000000000000000000000000,86259450026567839237042731888649831360517205401061/701181117674154910117662625000000000000000000000000000,0.0001230202123991784,True,0.9507607280000343
coarse_d3__lambda2_N400_r016,287,76861994107717485594317/209079469082310008279048000000000000000,37,19,-470653439014956862453309387155407/287000000000000000000000000000000,-42858860521251758154515550255744663614742136522231647/26134933635288751034881000000000000000000000000000000,5965639485104259532423869914245762800484571897/13067466817644375517440500000000000000000000000000000,4.565260863757574e-07,0.00013102298678984236,49612180737488685554992060453/287000000000000000000000000000000,4529739819305461906081411239705949493597877341621/26134933635288751034881000000000000000000000000000000,0.00017332126733198092,True,0.8626370459999748
coarse_d4__lambda0_N400_r004,306,1601259232058330986119246342411577795267626045005746327767951814225983407899925446110677923/690938617086656331318135706695646430912102063644319966875520738025768423662518492737319320000000000000000,37,19,-187823286598342855392882945258121/153000000000000000000000000000000,-48607927123519182333009932565111660367085776976871215621583421203352139/39595803828876188069591061947658649922631000000000000000000000000000000,1896641076401928588379092221529640793092388474507715072485067907/9898950957219047017397765486914662480657750000000000000000000000000000,1.916002094160046e-07,5.862966408129741e-05,2181002076512000068714412917/20400000000000000000000000000000,8481695714095604566739538815593409548205269125785259717501938874833/79191607657752376139182123895317299845262000000000000000000000000000000,0.00010710346670510228,True,1.2162418309999907
coarse_d4__lambda0_N400_r010,300,5099041596070926085584516906722401263956703109123688307805549474152376384703842611713075900835255268660704031209481/123126555294735801788565748474356125202413650241481363728106007837973275813802813057309923492633373704090010730600000000000000000,37,19,-5110213852847815559360345970403/4000000000000000000000000000000,-345339506774616711569046950609186640192209804671729818624816790070506721/270313235355982258067352697028516132981100000000000000000000000000000000,6450402900106276150720508072865821445041846410295903879882443069/16894577209748891129209543564282258311318750000000000000000000000000000,3.8180315612657764e-07,0.00011454094683797328,5012647652660802036759960749/75000000000000000000000000000000,378534857825121921645068305772454917446176582930886365215960126571/5631525736582963709736514521427419437106250000000000000000000000000000,6.721710519160394e-05,True,1.2211061239999594
coarse_d4__lambda1_N400_r006,307,1721481370482007227214249/11499951628842346761567255000000000000000,45,23,-399579820792119209394846697804621/307000000000000000000000000000000,-11306466301879892176259461785258588388554559234424768975871929163753738101/8686842887938924422980122647208994362061920125000000000000000000000000000,410628753889636018071300032764205921457457923785780371261531372771/555957944828091163070727849421375639171962888000000000000000000000000000,7.385967908356942e-07,0.00022674921478655808,39429759233427220072749746521/307000000000000000000000000000000,8976934420165621655552478034525018939880675334071708449576318124889689/69494743103511395383840981177671954896495361000000000000000000000000000000,0.00012917429461958886,True,1.5025652709999804
coarse_d4__lambda2_N400_r000,286,593491068933186262516299639370787950872162315326340519644832122911483956329331699920527087/2775331619225051349529949949326391620151104363280421427015923914078635360507617310538916988000000000000000,33,17,-91187448102081159002528908288227/71500000000000000000000000000000,-524447863608874081557668504505195115787003/411219264782040000000000000000000000000000,4586662149005477329831896665546812003/10280481619551000000000000000000000000000000,4.461524584882045e-07,0.0001275996031276265,16139749818757164914384202569/143000000000000000000000000000000,1164897161141205599546710938369958778467/10280481619551000000000000000000000000000000,0.00011331153580644041,True,0.9644187520000287
coarse_d4__lambda2_N400_r006,306,440369855302971749008156473872520121710656453502330010784761407516561586981182966664148726611715983853145225901871/45827778107850237898965991400362875574143749354345995386048933580822816452808977472323136964820099380096860923480000000000000000,39,20,-15999866371333218442300252864871/12240000000000000000000000000000,-213638392927863059826391267832209817307609504280797908239/163434812393304548331764987700000000000000000000000000000,401725406245014069497705091179026735278539820483739/653739249573218193327059950800000000000000000000000000000,6.145040343030852e-07,0.0001880382344967441,8629866272941153752322557239/76500000000000000000000000000000,41194003593082925237348668614666540083992278932128213/363188471985121218515033306000000000000000000000000000000,0.00011342321348451425,True,1.3593511920000196
